stage,epoch,train_loss,accuracy,precision_anemic,recall_anemic,f1_anemic,precision_non_anemic,recall_non_anemic,f1_non_anemic,roc_auc,n_samples
finetune,31,0.4078553983245988,0.6701030927835051,0.6153846153846154,0.851063829787234,0.7142857142857143,0.78125,0.5,0.6097560975609756,0.7438297872340425,97
finetune,32,0.4252108701740403,0.6804123711340206,0.625,0.851063829787234,0.7207207207207207,0.7878787878787878,0.52,0.6265060240963856,0.7455319148936169,97
finetune,33,0.40430279010270975,0.6907216494845361,0.6349206349206349,0.851063829787234,0.7272727272727273,0.7941176470588235,0.54,0.6428571428571429,0.7361702127659574,97
finetune,34,0.41309162375917396,0.6804123711340206,0.625,0.851063829787234,0.7207207207207207,0.7878787878787878,0.52,0.6265060240963856,0.7425531914893616,97
finetune,35,0.3947520903554786,0.6907216494845361,0.6349206349206349,0.851063829787234,0.7272727272727273,0.7941176470588235,0.54,0.6428571428571429,0.7621276595744682,97
finetune,36,0.4011969762633603,0.6804123711340206,0.625,0.851063829787234,0.7207207207207207,0.7878787878787878,0.52,0.6265060240963856,0.7548936170212766,97
finetune,37,0.38824408504378843,0.7010309278350515,0.65,0.8297872340425532,0.7289719626168224,0.7837837837837838,0.58,0.6666666666666666,0.7412765957446809,97
finetune,38,0.36710556431946506,0.7216494845360825,0.6666666666666666,0.851063829787234,0.7476635514018691,0.8108108108108109,0.6,0.6896551724137931,0.7331914893617021,97
finetune,39,0.3832154849686297,0.7422680412371134,0.6964285714285714,0.8297872340425532,0.7572815533980582,0.8048780487804879,0.66,0.7252747252747253,0.7340425531914894,97
finetune,40,0.38392972347726784,0.711340206185567,0.6557377049180327,0.851063829787234,0.7407407407407407,0.8055555555555556,0.58,0.6744186046511628,0.7285106382978722,97
finetune,41,0.3844365725316197,0.7010309278350515,0.65,0.8297872340425532,0.7289719626168224,0.7837837837837838,0.58,0.6666666666666666,0.7374468085106383,97
finetune,42,0.36347956015881766,0.711340206185567,0.6610169491525424,0.8297872340425532,0.7358490566037735,0.7894736842105263,0.6,0.6818181818181818,0.7229787234042553,97
finetune,43,0.36638826466947194,0.7216494845360825,0.6666666666666666,0.851063829787234,0.7476635514018691,0.8108108108108109,0.6,0.6896551724137931,0.7336170212765956,97
finetune,44,0.3620109678990391,0.711340206185567,0.6557377049180327,0.851063829787234,0.7407407407407407,0.8055555555555556,0.58,0.6744186046511628,0.7344680851063828,97
finetune,45,0.37139182289441425,0.6804123711340206,0.625,0.851063829787234,0.7207207207207207,0.7878787878787878,0.52,0.6265060240963856,0.7268085106382979,97
finetune,46,0.33511039375301344,0.711340206185567,0.6610169491525424,0.8297872340425532,0.7358490566037735,0.7894736842105263,0.6,0.6818181818181818,0.7434042553191489,97
finetune,47,0.33379590343758764,0.711340206185567,0.6610169491525424,0.8297872340425532,0.7358490566037735,0.7894736842105263,0.6,0.6818181818181818,0.7451063829787234,97
finetune,48,0.35248302641403245,0.7525773195876289,0.7017543859649122,0.851063829787234,0.7692307692307693,0.825,0.66,0.7333333333333333,0.7497872340425531,97
finetune,49,0.34841957401080303,0.7422680412371134,0.6964285714285714,0.8297872340425532,0.7572815533980582,0.8048780487804879,0.66,0.7252747252747253,0.7582978723404256,97
finetune,50,0.3031537201270521,0.7525773195876289,0.7169811320754716,0.8085106382978723,0.76,0.7954545454545454,0.7,0.7446808510638298,0.7502127659574468,97
finetune,51,0.3271168081396555,0.7319587628865979,0.6779661016949152,0.851063829787234,0.7547169811320755,0.8157894736842105,0.62,0.7045454545454546,0.7527659574468085,97
finetune,52,0.3222393746596264,0.711340206185567,0.6557377049180327,0.851063829787234,0.7407407407407407,0.8055555555555556,0.58,0.6744186046511628,0.7374468085106383,97
finetune,53,0.329642375310262,0.7319587628865979,0.6779661016949152,0.851063829787234,0.7547169811320755,0.8157894736842105,0.62,0.7045454545454546,0.7540425531914893,97
finetune,54,0.33861043139633884,0.7010309278350515,0.6451612903225806,0.851063829787234,0.7339449541284404,0.8,0.56,0.6588235294117647,0.7391489361702127,97
finetune,55,0.33674523784932364,0.7010309278350515,0.6451612903225806,0.851063829787234,0.7339449541284404,0.8,0.56,0.6588235294117647,0.734468085106383,97
finetune,56,0.3212552320765683,0.711340206185567,0.6557377049180327,0.851063829787234,0.7407407407407407,0.8055555555555556,0.58,0.6744186046511628,0.7485106382978723,97
finetune,57,0.30295662151043673,0.7216494845360825,0.6666666666666666,0.851063829787234,0.7476635514018691,0.8108108108108109,0.6,0.6896551724137931,0.7531914893617022,97
finetune,58,0.299615350593046,0.7319587628865979,0.6842105263157895,0.8297872340425532,0.75,0.8,0.64,0.7111111111111111,0.7468085106382979,97
finetune,59,0.3086682249862985,0.7216494845360825,0.6724137931034483,0.8297872340425532,0.7428571428571429,0.7948717948717948,0.62,0.6966292134831461,0.7685106382978725,97
finetune,60,0.30584423722751647,0.711340206185567,0.6507936507936508,0.8723404255319149,0.7454545454545455,0.8235294117647058,0.56,0.6666666666666666,0.7587234042553193,97
finetune,61,0.2965753230464506,0.7319587628865979,0.6779661016949152,0.851063829787234,0.7547169811320755,0.8157894736842105,0.62,0.7045454545454546,0.7617021276595745,97
finetune,62,0.2917869654764612,0.7319587628865979,0.6779661016949152,0.851063829787234,0.7547169811320755,0.8157894736842105,0.62,0.7045454545454546,0.7753191489361703,97
finetune,63,0.2848831694049529,0.7422680412371134,0.6896551724137931,0.851063829787234,0.7619047619047619,0.8205128205128205,0.64,0.7191011235955056,0.7612765957446808,97
